ZIP Code,ZIP Code,Low Food Access,Obesity,Uninsured,Park Area,PCP Ratio,Cluster
32202,32202,1325,47.5,678,58.62,354.29,2
32204,32204,3870,35.0,1009,45.36,84.73,0
32205,32205,20006,33.7,2771,120.88,1324.91,0
32206,32206,12868,46.3,1975,141.96,814.52,2
32207,32207,23591,33.3,3607,183.38,93.67,0
32208,32208,24616,45.7,3861,293.58,990.88,2
32209,32209,19874,48.0,4335,119.47,219.35,2
32210,32210,43359,37.4,8712,371.4,1776.46,0
32211,32211,20619,38.6,4576,121.65,1185.87,2
32212,32212,1670,28.6,0,0.0,149.15,0
32216,32216,25614,33.0,5237,245.34,241.7,0
32217,32217,14944,31.6,2114,95.92,919.14,0
32223,32223,16732,30.2,1433,111.09,968.89,0
32254,32254,11441,44.3,2149,119.16,3481.75,2
32256,32256,25764,28.6,5689,1842.89,570.51,0
32257,32257,20338,31.3,5120,268.79,794.52,0
32258,32258,16749,29.5,4728,2495.76,824.65,0
32266,32266,4622,27.6,437,13.72,651.64,0
32277,32277,17879,36.2,5456,336.0,2137.53,0
32218,32218,36295,38.0,7900,6894.24,1301.88,0
32219,32219,6155,38.4,1695,5139.79,14302.0,3
32220,32220,7631,35.2,1151,12207.01,12298.0,3
32221,32221,23248,34.3,3961,3904.27,8208.25,3
32222,32222,8066,36.2,1367,340.32,4564.5,0
32224,32224,25981,28.5,4021,1714.09,80.64,0
32225,32225,33051,30.7,4594,2817.0,1331.07,0
32226,32226,10076,31.9,1481,43737.65,4251.2,3
32228,32228,116,25.8,0,0.0,55.5,0
32233,32233,20299,31.1,2284,1283.46,4926.6,0
32234,32234,238,34.9,687,16407.8,9678.0,3
32244,32244,45062,36.4,7780,1522.82,2355.26,0
32246,32246,37746,31.4,6447,276.4,2085.4,0
32250,32250,14042,28.9,2299,88.81,421.33,0
12031,12031,596018,34.3,110121,97388.89,485.37,1
